video_path,disaster_type,start_frame,end_frame
17_forestfire_forestfire_141.mp4,forestfire,0,0
07_landslide_landslide_47.mp4,landslide,0,0
09_riverOverflow_riverOverflow_63.mp4,riverOverflow,0,0
08_landslide_landslide_77.mp4,landslide,0,0
07_mountainFloods_mountainFloods_120.mp4,mountainFloods,0,0
03_mountainFloods_mountainFloods_79.mp4,mountainFloods,0,0
03_waterlogging_waterlogging_31.mp4,waterlogging,0,0
09_forestfire_forestfire_229.mp4,forestfire,0,0
17_riverOverflow_riverOverflow_56.mp4,riverOverflow,0,0
14_forestfire_forestfire_295.mp4,forestfire,0,0
07_forestfire_forestfire_210.mp4,forestfire,0,0
01_normal_forest_033.mp4,normal,0,0
06_waterlogging_waterlogging_213.mp4,waterlogging,0,0
01_forestfire_forestfire_73.mp4,forestfire,0,0
17_landslide_landslide_117.mp4,landslide,0,0
17_forestfire_forestfire_22.mp4,forestfire,0,0
08_debrisFlow_debrisFlow_51.mp4,debrisFlow,0,0
07_forestfire_forestfire_82.mp4,forestfire,0,0
08_normal_mountain_052.mp4,normal,0,0
08_mountainFloods_mountainFloods_167.mp4,mountainFloods,0,0
17_mountainFloods_mountainFloods_119.mp4,mountainFloods,0,0
18_mountainFloods_mountainFloods_10.mp4,mountainFloods,0,0
17_debrisFlow_debrisFlow_121.mp4,debrisFlow,0,0
09_debrisFlow_debrisFlow_76.mp4,debrisFlow,0,0
06_normal_forest_295.mp4,normal,0,0
01_normal_river_106.mp4,normal,0,0
13_landslide_landslide_27.mp4,landslide,0,0
11_mountainFloods_mountainFloods_135.mp4,mountainFloods,0,0
09_waterlogging_waterlogging_178.mp4,waterlogging,0,0
18_waterlogging_waterlogging_217.mp4,waterlogging,0,0
08_landslide_landslide_54.mp4,landslide,0,0
06_riverOverflow_riverOverflow_28.mp4,riverOverflow,0,0
18_mountainFloods_mountainFloods_177.mp4,mountainFloods,0,0
17_waterlogging_waterlogging_121.mp4,waterlogging,0,0
13_mountainFloods_mountainFloods_13.mp4,mountainFloods,0,0
08_normal_forest_235.mp4,normal,0,0
11_waterlogging_waterlogging_107.mp4,waterlogging,0,0
11_waterlogging_waterlogging_131.mp4,waterlogging,0,0
17_mountainFloods_mountainFloods_95.mp4,mountainFloods,0,0
01_mountainFloods_mountainFloods_77.mp4,mountainFloods,0,0
01_forestfire_forestfire_78.mp4,forestfire,0,0
02_mountainFloods_mountainFloods_76.mp4,riverOverflow,0,0
06_forestfire_forestfire_72.mp4,forestfire,0,0
09_landslide_landslide_69.mp4,landslide,0,0
02_normal_river_089.mp4,normal,0,0
13_landslide_landslide_45.mp4,landslide,0,0
01_waterlogging_waterlogging_140.mp4,waterlogging,0,0
11_debrisFlow_debrisFlow_60.mp4,debrisFlow,0,0
02_forestfire_forestfire_255.mp4,forestfire,0,0
03_mountainFloods_mountainFloods_173.mp4,mountainFloods,0,0
11_normal_forest_233.mp4,normal,0,0
13_waterlogging_waterlogging_135.mp4,waterlogging,0,0
13_debrisFlow_debrisFlow_47.mp4,debrisFlow,0,0
10_waterlogging_waterlogging_189.mp4,waterlogging,0,0
13_landslide_landslide_127.mp4,landslide,0,0
08_riverOverflow_riverOverflow_62.mp4,riverOverflow,0,0
08_mountainFloods_mountainFloods_1.mp4,mountainFloods,0,0
08_debrisFlow_debrisFlow_98.mp4,debrisFlow,0,0
14_normal_river_018.mp4,normal,0,0
17_forestfire_forestfire_207.mp4,forestfire,0,0
07_forestfire_forestfire_310.mp4,forestfire,0,0
07_forestfire_forestfire_50.mp4,forestfire,0,0
13_waterlogging_waterlogging_50.mp4,waterlogging,0,0
18_normal_river_003.mp4,normal,0,0
02_riverOverflow_riverOverflow_80.mp4,riverOverflow,0,0
03_riverOverflow_riverOverflow_16.mp4,riverOverflow,0,0
03_mountainFloods_mountainFloods_34.mp4,mountainFloods,0,0
11_normal_mountain_154.mp4,normal,0,0
11_forestfire_forestfire_40.mp4,forestfire,0,0
